datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-12 19:16:58.718913,0.245555999994,0.0,0.0,0,0,0.02,0.02,1.03,0.98,-1.46,0.18,10.25,60.35,-118.36,30.39
2019-12-12 19:16:58.822665,0.349298999994,0.0,0.0,0,0,0.03,0.04,1.03,0.67,-0.92,-0.06,11.13,60.94,-117.48,30.39
2019-12-12 19:16:58.927001,0.453645000001,0.0,0.0,0,0,0.03,0.02,1.03,0.73,-1.34,0.24,10.11,59.91,-119.09,30.68
2019-12-12 19:16:59.040273,0.566930999994,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.10,0.06,11.13,60.06,-119.24,30.87
2019-12-12 19:16:59.117895,0.644497000001,0.0,0.0,0,0,0.02,0.02,1.02,0.92,-1.40,0.12,10.84,60.06,-116.60,30.68
2019-12-12 19:16:59.222990,0.749658999994,0.0,0.0,0,0,0.02,0.02,1.03,0.98,-1.22,0.00,10.40,59.62,-118.51,30.73
2019-12-12 19:16:59.351721,0.878362999996,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.16,0.24,10.84,60.06,-117.19,30.49
2019-12-12 19:16:59.455663,0.982304999998,0.0,0.0,0,0,0.02,0.02,1.02,0.98,-1.16,0.24,9.52,60.50,-119.09,30.54
2019-12-12 19:16:59.559277,1.085919,0.0,0.0,0,0,0.02,0.03,1.03,0.98,-1.34,0.43,10.11,60.21,-118.51,30.49
2019-12-12 19:16:59.646370,1.173069,0.0,0.0,0,0,0.03,0.02,1.03,0.73,-1.16,0.31,12.16,60.50,-117.92,30.49
2019-12-12 19:16:59.760529,1.287168,0.0,0.0,0,0,0.02,0.02,1.02,1.28,-1.46,0.18,9.52,60.50,-118.51,30.68
2019-12-12 19:16:59.865352,1.391995,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.34,0.06,10.40,60.21,-117.33,30.58
2019-12-12 19:16:59.968198,1.49479899999,0.0,0.0,0,0,0.02,0.02,1.04,1.04,-1.46,0.12,10.40,60.21,-117.63,30.73
2019-12-12 19:17:00.073438,1.600087,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.40,0.12,9.81,60.21,-117.63,30.68
2019-12-12 19:17:00.180302,1.706932,0.0,0.0,0,0,0.02,0.02,1.02,1.04,-1.10,0.00,9.67,59.77,-117.48,30.39
2019-12-12 19:17:00.284098,1.81073899999,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.40,0.12,8.79,60.06,-117.77,30.54
2019-12-12 19:17:00.393505,1.920147,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.10,0.06,9.67,60.35,-118.65,30.68
2019-12-12 19:17:00.496791,2.023437,0.0,0.0,0,0,0.02,0.02,1.02,0.85,-1.40,0.06,9.81,59.62,-117.33,30.73
2019-12-12 19:17:00.604088,2.130716,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.34,0.12,10.55,60.35,-117.19,30.54
2019-12-12 19:17:00.706915,2.23355599999,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.46,0.06,9.67,59.77,-117.48,30.68
2019-12-12 19:17:00.809340,2.335953,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.22,0.12,9.96,59.47,-118.36,30.39
2019-12-12 19:17:00.914783,2.441421,0.0,0.0,0,0,0.02,0.02,1.02,0.85,-1.28,0.00,10.69,59.33,-116.46,30.39
2019-12-12 19:17:01.013028,2.53968,0.0,0.0,0,0,0.05,0.03,1.07,0.43,-0.24,0.18,10.25,59.47,-117.77,30.49
2019-12-12 19:17:01.117093,2.643733,0.0,0.0,0,0,0.02,0.02,1.02,0.98,-1.28,0.12,11.43,59.47,-118.36,30.68
2019-12-12 19:17:01.220902,2.74755499999,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.04,-0.06,10.11,59.91,-117.92,30.68
2019-12-12 19:17:01.324791,2.851432,0.0,0.0,0,0,0.02,0.02,1.03,0.79,-0.85,0.00,9.67,60.35,-118.07,30.39
2019-12-12 19:17:01.428242,2.95488599999,0.0,0.0,0,0,0.03,0.02,1.02,1.04,-1.16,0.00,10.25,59.18,-116.60,30.39
2019-12-12 19:17:01.531022,3.057656,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.40,-0.12,8.79,60.64,-117.77,30.73
2019-12-12 19:17:01.647607,3.174247,0.0,0.0,0,0,0.03,0.02,1.03,1.22,-1.28,0.06,10.11,60.50,-117.04,30.58
2019-12-12 19:17:01.751921,3.278557,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-0.98,-0.18,9.52,59.33,-117.33,30.54
2019-12-12 19:17:01.855680,3.382346,0.0,0.0,0,0,0.02,0.02,1.03,0.98,-1.46,0.12,10.25,59.47,-117.48,30.58
2019-12-12 19:17:01.959642,3.486282,0.0,0.0,0,0,0.02,0.02,1.02,1.04,-1.04,0.12,10.25,60.06,-117.48,30.54
2019-12-12 19:17:02.063426,3.590069,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-1.28,0.24,9.67,59.77,-118.07,30.49
2019-12-12 19:17:02.167039,3.693682,0.0,0.0,0,0,0.02,0.02,1.03,0.67,-1.59,0.00,9.23,59.33,-118.80,30.58
2019-12-12 19:17:02.272948,3.799589,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.34,-0.06,10.25,59.18,-117.19,30.73
2019-12-12 19:17:02.371094,3.89773500001,0.0,0.0,0,0,0.02,0.02,1.03,1.22,-1.28,-0.06,10.40,60.79,-117.63,30.68
2019-12-12 19:17:02.499768,4.026411,0.0,0.0,0,0,0.03,0.02,1.03,1.04,-1.40,0.06,10.40,59.62,-119.09,30.68
2019-12-12 19:17:02.584469,4.111109,0.0,0.0,0,0,0.03,0.02,1.02,0.92,-1.10,0.06,9.52,60.79,-118.21,30.54
2019-12-12 19:17:02.688369,4.215012,0.0,0.0,0,0,0.03,0.02,1.03,0.98,-1.46,0.00,10.11,59.33,-117.63,30.54
2019-12-12 19:17:02.792430,4.31907100001,0.0,0.0,0,0,0.17,0.40,1.03,-3.23,9.64,20.39,9.96,59.77,-117.48,30.39
2019-12-12 19:17:02.925482,4.45211699999,0.0,0.0,0,0,0.04,-0.02,1.03,0.98,-1.53,-36.38,15.09,53.17,-110.89,30.58
2019-12-12 19:17:03.008447,4.53509,0.0,0.0,0,0,0.02,0.02,1.02,0.92,-1.22,0.24,14.21,53.47,-111.18,30.87
2019-12-12 19:17:03.112262,4.63890399999,0.0,0.0,0,0,0.03,0.02,1.02,0.98,-0.12,-0.12,15.09,53.17,-111.47,30.68
2019-12-12 19:17:03.220517,4.74716899999,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-2.20,0.12,15.53,53.32,-110.74,30.54
2019-12-12 19:17:03.327798,4.854445,0.0,0.0,0,0,0.03,0.02,1.02,0.61,-0.49,0.00,14.06,51.27,-110.74,30.68
2019-12-12 19:17:03.430715,4.95737,0.0,0.0,0,0,0.08,0.05,1.12,-6.77,-12.82,69.70,18.75,49.22,-101.66,30.54
2019-12-12 19:17:03.559787,5.086444,0.0,0.0,0,0,0.29,0.05,1.41,57.31,-59.69,-54.20,-18.75,76.46,-60.94,30.49
2019-12-12 19:17:03.648172,5.174827,0.0,0.0,0,0,0.34,0.11,1.04,14.22,-127.44,54.14,-20.95,74.85,25.93,30.54
2019-12-12 19:17:03.777071,5.303713,0.0,0.0,0,0,0.56,-0.02,0.55,26.61,-45.23,-16.24,2.20,47.90,33.84,30.49
2019-12-12 19:17:03.878660,5.405254,0.0,0.0,0,0,0.40,-0.02,0.73,-74.28,152.22,-27.95,-5.71,54.35,30.32,30.49
2019-12-12 19:17:03.986352,5.51306,0.0,0.0,0,0,0.46,-0.06,2.02,-16.36,0.31,-11.60,-41.02,93.16,-27.83,30.92
2019-12-12 19:17:04.088615,5.615257,0.0,0.0,0,0,0.19,0.10,0.77,79.83,-109.56,-4.46,-21.68,82.62,36.33,30.73
2019-12-12 19:17:04.192605,5.719245,0.0,0.0,0,0,0.34,0.12,0.57,-24.11,-24.84,15.20,1.03,59.62,43.21,30.58
2019-12-12 19:17:04.311667,5.83833100001,0.0,0.0,0,0,0.11,-0.12,0.14,-53.10,142.82,-6.16,-13.77,74.41,43.95,30.25
2019-12-12 19:17:04.417438,5.944099,0.0,0.0,0,0,0.43,0.01,2.05,81.18,-29.97,-37.96,-63.28,118.07,-20.51,30.68
2019-12-12 19:17:04.519526,6.04616499999,0.0,0.0,0,0,0.26,0.16,0.60,52.25,-96.62,-3.05,-17.43,80.71,56.40,30.58
2019-12-12 19:17:04.624880,6.15151900001,0.0,0.0,0,0,0.40,0.21,0.70,-18.07,6.59,10.68,-1.61,65.77,55.81,30.49
2019-12-12 19:17:04.752492,6.279086,0.0,0.0,0,0,-0.07,-0.17,-0.03,-91.37,213.62,-1.22,-19.92,82.62,55.96,30.73
2019-12-12 19:17:04.862053,6.388693,0.0,0.0,0,0,0.24,-0.05,1.87,57.86,-27.83,-60.61,-95.95,133.45,-28.27,30.87
2019-12-12 19:17:04.950698,6.477338,0.0,0.0,0,0,0.17,0.12,0.61,17.09,-65.19,0.73,-33.69,88.48,73.83,30.58
2019-12-12 19:17:05.079597,6.606237,0.0,0.0,0,0,0.38,0.13,0.92,-14.40,-10.86,10.13,-12.74,70.17,67.24,30.68
2019-12-12 19:17:05.183294,6.70993699999,0.0,0.0,0,0,0.11,0.06,0.19,-38.09,49.07,35.83,-22.41,78.37,69.58,30.58
2019-12-12 19:17:05.287617,6.814271,0.0,0.0,0,0,0.29,-0.26,1.82,132.93,-91.19,-0.85,-102.25,124.22,12.89,30.73
2019-12-12 19:17:05.391904,6.918544,0.0,0.0,0,0,0.13,0.06,0.60,59.63,-76.48,-26.61,-29.74,79.54,74.56,30.58
2019-12-12 19:17:05.496825,7.02346500001,0.0,0.0,0,0,0.39,0.13,0.78,-21.85,-0.67,12.88,-3.81,58.59,62.40,30.54
2019-12-12 19:17:05.607146,7.13378799999,0.0,0.0,0,0,0.29,0.09,0.51,-15.56,40.04,4.94,-9.38,64.45,66.21,30.68
2019-12-12 19:17:05.711011,7.23765,0.0,0.0,0,0,0.84,-0.07,2.35,24.72,-31.56,-12.70,-86.43,109.57,34.28,30.49
2019-12-12 19:17:05.814646,7.341287,0.0,0.0,0,0,0.21,0.06,0.53,73.55,-75.56,-32.53,-31.05,79.39,79.69,30.58
2019-12-12 19:17:05.943368,7.470009,0.0,0.0,0,0,0.40,0.14,0.80,-14.95,-2.32,12.70,-6.15,62.11,73.54,30.54
2019-12-12 19:17:06.047232,7.57386999999,0.0,0.0,0,0,0.31,0.12,0.59,-1.04,15.32,2.99,-9.81,65.77,75.15,30.49
2019-12-12 19:17:06.151558,7.678201,0.0,0.0,0,0,0.79,-0.26,2.22,-65.55,28.56,29.17,-95.95,114.99,27.69,30.73
2019-12-12 19:17:06.266129,7.792768,0.0,0.0,0,0,0.18,0.01,0.87,142.09,-103.70,-45.96,-60.21,95.65,67.82,30.39
2019-12-12 19:17:06.373563,7.900207,0.0,0.0,0,0,0.29,0.16,0.75,-3.66,-18.43,7.63,-10.55,64.75,72.66,30.54
2019-12-12 19:17:06.477210,8.003853,0.0,0.0,0,0,0.35,0.13,0.71,-10.19,6.96,9.89,-9.96,62.99,70.90,30.68
2019-12-12 19:17:06.584635,8.111275,0.0,0.0,0,0,0.75,-0.13,2.38,-158.81,41.02,55.60,-90.97,111.77,55.81,30.68
2019-12-12 19:17:06.688775,8.215413,0.0,0.0,0,0,0.20,0.05,0.78,141.05,-96.80,-79.16,-47.61,85.69,81.88,30.73
2019-12-12 19:17:06.792124,8.318768,0.0,0.0,0,0,0.31,0.16,0.70,-10.44,-2.50,12.39,-6.59,59.62,72.80,30.68
